Time	4crsol	ala	asp	cobalt	cu2	glu	gly	h2o2	his	ile	lac	leu	lys	met	mnl	mobd	nh4	ni2	phe	pro	pyr	ser	succ	thr	tyr	val	dag
0	0	0.998950541	1.598759459	1000	1000	3.496909874	0.799287036	0	0.399599885	0.54927211	1.12271E-07	1.498014844	0.798970095	0.39943061	54.89317788	1000	45.23281596	1000	0.599309886	1.997724331	1.14871E-07	0.951538161	8.61534E-08	0.449128062	0.399581874	1.357270231	0
1	8.03673E-07	1.008975573	1.593203586	999.9999998	999.9999999	3.485691862	0.749161874	0.011455875	0.398421943	0.548080133	0.00334179	1.494345683	0.797201679	0.39937275	54.86828238	999.9999994	45.31053138	999.9999999	0.59758558	1.995492759	0.005012631	0.947798824	8.61534E-08	0.448385207	0.398765836	1.356187527	0
2	2.41773E-06	1.029109361	1.587624513	999.9999993	999.9999997	3.474427008	0.698827404	0.022746422	0.397239083	0.54688318	0.010053052	1.490661199	0.795425879	0.399256546	54.81828347	999.9999982	45.37707126	999.9999998	0.595854074	1.993251869	0.010046078	0.944043873	8.61534E-08	0.44763925	0.397946391	1.355100303	0
3	4.85299E-06	1.059486746	1.582012798	999.9999987	999.9999993	3.463096243	0.648198428	0.033888627	0.396049302	0.545679223	0.020178848	1.486955158	0.793639689	0.399081221	54.7428463	999.9999963	45.43243311	999.9999997	0.594112437	1.990997867	0.015108976	0.940266951	8.61534E-08	0.446888929	0.397122151	1.354006717	0
4	8.12444E-06	1.100294876	1.576358831	999.9999978	999.9999989	3.451680169	0.597188267	0.044898704	0.394850563	0.544466201	0.033781557	1.483221215	0.79184005	0.398845693	54.64150611	999.9999939	45.47655735	999.9999995	0.592357688	1.988726894	0.020209992	0.936461593	8.61534E-08	0.446132958	0.396291706	1.352904897	0
5	1.22514E-05	1.151774834	1.570652793	999.9999967	999.9999983	3.440158954	0.545708309	0.055792176	0.393640784	0.543242008	0.050941543	1.479452882	0.790023837	0.398548572	54.51366422	999.9999907	45.5093262	999.9999992	0.590586777	1.986435006	0.025357988	0.932621188	8.61534E-08	0.445370025	0.395453612	1.35179293	0
6	1.72577E-05	1.21422374	1.564884595	999.9999953	999.9999976	3.428512233	0.493667553	0.064934462	0.392417827	0.542004478	0.071757845	1.475643498	0.788187839	0.398188143	54.35858276	999.9999869	45.52891265	999.9999989	0.590446049	1.984118152	0.030562063	0.928738948	8.61534E-08	0.444598781	0.394606389	1.35066885	0
7	2.64696E-05	1.278062343	1.558988036	999.9999928	999.9999963	3.416606334	0.440468718	0.073303526	0.391167654	0.54073941	0.093569368	1.471749344	0.786310984	0.397524715	54.20005023	999.99998	45.5417602	999.9999983	0.590186533	1.98174974	0.035243561	0.924770315	8.61534E-08	0.443810374	0.393740312	1.349519755	4.3623E-08
8	4.01812E-05	1.343846085	1.552911811	999.9999891	999.9999944	3.404337666	0.385648933	0.080925238	0.389879389	0.539435796	0.116593678	1.467736535	0.784376942	0.396537107	54.03668727	999.9999696	45.54760584	999.9999974	0.589799931	1.979309163	0.039409864	0.920680759	8.61534E-08	0.442997945	0.392847846	1.348335648	1.33527E-07
9	5.88065E-05	1.412179079	1.546600121	999.999984	999.9999918	3.391593563	0.328704771	0.080925238	0.388541201	0.538081663	0.141079667	1.463568223	0.782367952	0.395195482	53.86699367	999.9999555	45.54743162	999.9999962	0.587841051	1.976774009	0.043054291	0.916432724	8.61534E-08	0.442154033	0.391920795	1.347105654	2.7361E-07
10	8.28979E-05	1.483730621	1.539991143	999.9999774	999.9999884	3.3782492	0.269078486	0.080925238	0.387139984	0.53666375	0.167315233	1.459203579	0.780264337	0.393729868	53.68930734	999.9999373	45.53743676	999.9999947	0.587161295	1.974119447	0.046154858	0.911984604	8.61534E-08	0.441270371	0.390950079	1.345817726	4.69184E-07
11	0.00011317	1.559254489	1.533015255	999.9999692	999.9999841	3.364163999	0.20614193	0.087201731	0.385660975	0.535167119	0.195636683	1.454596623	0.778043935	0.392182887	53.50175641	999.9999144	45.51936067	999.9999928	0.584996277	1.971317511	0.04867232	0.907289537	8.61534E-08	0.440337651	0.389925472	1.344458297	7.27224E-07
12	0.000150534	1.639611932	1.525592906	999.999959	999.9999789	3.349177336	0.139177394	0.092810303	0.384087308	0.533574702	0.22644037	1.449694819	0.775681427	0.390536899	53.30220209	999.9998861	45.49057952	999.9999904	0.582692697	1.96833625	0.050547327	0.902293982	8.61534E-08	0.439345237	0.388835289	1.343011863	1.05669E-06
