Time	4crsol	5drib	amob	dalua	5mtr	ala	asp	cobalt	cu2	fe3	glc	glu	gly	h2o2	his	ile	leu	lys	met	mobd	nh4	ni2	phe	pro	pyr	ser	succ	thr	tyr	urea	val	tnf
0	0	0	0	0	0	0.9989505407	1.5987594588	1000	1000	1000	55.5074860726	3.4969098735	0.799287036	0	0.3995998845	0.5492721096	1.4980148445	0.7989700947	0.3994306103	1000	45.2328159645	1000	0.5993098856	1.9977243314	1.14871229351897E-06	0.9515381614	8.61534220139224E-07	0.4491280619	0.399581874	0	1.3572702308	0
0.0833333333	2.6945872497682E-06	0.0000286	4.67715362750826E-06	7.20423950769627E-07	1.87013318417904E-05	0.9992306433	1.597919151	999.9999992661	999.9999996224	999.9875343243	55.4957217624	3.4950611962	0.7931247782	0.1035051784	0.399595683	0.5492250524	1.4978610681	0.7989182757	0.3993885949	999.9999979614	45.2422192826	999.999999828	0.5992888779	1.9976308051	0.0110652024	0.9470565194	8.61534220139224E-07	0.4491280619	0.3995755717	1.11463304927307E-05	1.3572248542	5.12587803230334E-07
0.1666666667	0.000005632	0.0000597	9.77583859306127E-06	1.5057765517639E-06	3.90881326808198E-05	0.9995359904	1.5970735745	999.9999984661	999.9999992108	999.9794763514	55.4838836923	3.493200928	0.7871117902	0.2041759183	0.3995914551	0.5491777001	1.4977063276	0.7988660144	0.3993463161	999.9999957391	45.2508873919	999.9999996405	0.5992677385	1.9975366925	0.0222103695	0.9426642196	8.61534220139224E-07	0.4491985266	0.3995692299	1.11463304927307E-05	1.357179193	1.0283894277618E-06
0.25	8.81672917980975E-06	0.0000934	1.5303715576349E-05	2.35723778071443E-06	0.000061191	0.9998670406	1.5962223025	999.9999975988	999.9999987646	999.9762237619	55.4719658835	3.4913281295	0.7812474716	0.3021896885	0.3995871987	0.5491300289	1.4975505448	0.7988132828	0.3993037525	999.9999933297	45.2587917892	999.9999994373	0.5992464567	1.9974419459	0.0334424314	0.9383605665	8.61534220139224E-07	0.4493404053	0.3995628453	1.11463304927307E-05	1.3571332244	1.54766538276496E-06
0.3333333333	1.22534858635033E-05	0.0001298538	2.12690963564233E-05	3.27608790446285E-06	8.50432678963324E-05	1.0002242919	1.5953648995	999.9999966628	999.999998283	999.9762184546	55.4599622427	3.4894418431	0.7755314522	0.3946932199	0.3995829117	0.5490820143	1.4973936401	0.7987600524	0.3992608824	999.9999907296	45.2659250946	999.9999992179	0.5992250216	1.997346517	0.0447672949	0.9341450021	8.61534220139224E-07	0.449554756	0.3995564148	1.11463304927307E-05	1.3570869246	2.07068116082394E-06
0.4166666667	1.5947471114267E-05	0.0001690001	0.000027681	4.26371057233855E-06	0.0001106808	1.000608282	1.5945009217	999.9999956567	999.9999977654	999.9761639556	55.4478665529	3.4875410919	0.769963595	0.475819158	0.3995785918	0.5490336316	1.4972355322	0.7987062938	0.3992176835	999.999987935	45.2722787324	999.9999989821	0.5992034222	1.9972503562	0.0561910019	0.930017108	8.61534220139224E-07	0.4498427487	0.399549935	1.11463304927307E-05	1.3570402698	2.59770764280659E-06
0.5	1.99042594006031E-05	0.0002109314	0.000034549	5.321596172386E-06	0.0001381422	1.0010195906	1.5936299154	999.9999945791	999.9999972109	999.9761055794	55.4356724641	3.4856248779	0.764544	0.5454844417	0.3995742368	0.5489848552	1.497076138	0.7986519769	0.3991741332	999.9999849415	45.2778429008	999.9999987296	0.599181647	1.9971534132	0.0677197387	0.9259766063	8.61534220139224E-07	0.450205668	0.3995434024	1.11463304927307E-05	1.3569932354	0.000003129
0.5833333333	2.41298380024623E-05	0.0002557111	4.18835795182048E-05	6.45134546178121E-06	0.0001674691	1.0014588399	1.5927514167	999.9999934283	999.9999966188	999.9760432376	55.4233734827	3.4836921808	0.7592730079	0.6035112151	0.3995698443	0.5489356593	1.4969153727	0.7985970707	0.3991302082	999.9999817446	45.2826065396	999.9999984599	0.5991596845	1.9970556363	0.0793598461	0.9220233623	8.61534220139224E-07	0.4506449173	0.3995368137	1.11463304927307E-05	1.3569457965	3.66490570426252E-06
0.6666666667	2.86306216616409E-05	0.0003034072	4.9695854522463E-05	7.65467348375702E-06	0.000198706	1.0019266968	1.5918649509	999.9999922025	999.9999959881	999.949630769	55.410962962	3.4817419561	0.7541512058	0.6035112151	0.399565412	0.5488860172	1.4967531495	0.7985415435	0.3990858849	999.9999783395	45.2865572937	999.9999981726	0.5991375229	1.9969569727	0.0911178294	0.9181573866	8.61534220139224E-07	0.4511620223	0.3995301652	1.11463304927307E-05	1.3568979274	4.20564981825508E-06
0.75	3.34134683537485E-05	0.0003540925	5.79977229283687E-05	8.9334137843912E-06	0.0002319006	1.0024238742	1.5909700316	999.9999908999	999.9999953179	999.9301753768	55.3984340913	3.4797731336	0.7491794317	0.6035112151	0.3995609374	0.5488359017	1.4965893793	0.7984853624	0.399041139	999.9999747211	45.2896814732	999.9999978674	0.5991151499	1.9968573682	0.1030003696	0.9143788383	8.61534220139224E-07	0.4517586352	0.3995234533	1.11463304927307E-05	1.3568496017	4.75155061533764E-06
