Time	4crsol	5drib	amob	dalua	5mtr	ala	asp	cobalt	cu2	fe3	glc	glu	gly	h2o2	his	ile	leu	lys	met	mobd	nh4	ni2	phe	pro	pyr	ser	succ	thr	tyr	urea	val	tnf
0	2.69E-06	2.86E-05	4.68E-06	7.20E-07	1.87E-05	0.0002801026	-0.0008403079	-7.34E-07	-3.78E-07	-0.0124656757	-0.0117643102	-0.0018486773	-0.0061622577	0.1035051784	-4.20E-06	-4.71E-05	-0.0001537763	-0.000051819	-4.20E-05	-2.04E-06	0.0094033181	-0.000000172	-2.10E-05	-9.35E-05	0.0110640537	-0.004481642	0	0	-6.30E-06	1.11E-05	-4.54E-05	5.13E-07
0.0833333333	2.94E-06	3.11E-05	5.10E-06	7.85E-07	2.04E-05	0.000305347	-0.0008455764	-0.0000008	-4.12E-07	-0.0080579728	-0.0118380701	-0.0018602682	-0.006012988	0.1006707398	-4.23E-06	-4.74E-05	-0.0001547405	-5.23E-05	-4.23E-05	-2.22E-06	0.0086681093	-1.87E-07	-2.11E-05	-9.41E-05	0.0111451672	-0.0043922998	0	7.05E-05	-6.34E-06	0	-4.57E-05	5.16E-07
0.1666666667	3.18E-06	3.37E-05	5.53E-06	8.51E-07	2.21E-05	0.0003310502	-0.0008512721	-8.67E-07	-4.46E-07	-0.0032525895	-0.0119178088	-0.0018727985	-0.0058643186	0.0980137703	-4.26E-06	-4.77E-05	-0.0001557828	-5.27E-05	-4.26E-05	-2.41E-06	0.0079043973	-2.03E-07	-2.13E-05	-9.47E-05	0.0112320619	-0.0043036532	0	0.0001418787	-6.38E-06	0	-4.60E-05	5.19E-07
0.25	3.44E-06	3.64E-05	5.97E-06	9.19E-07	2.39E-05	0.0003572512	-0.0008574029	-0.000000936	-4.82E-07	-5.31E-06	-0.0120036408	-0.0018862864	-0.0057160194	0.0925035314	-0.000004287	-4.80E-05	-0.0001569047	-5.32E-05	-4.29E-05	-2.60E-06	0.0071333054	-2.19E-07	-2.14E-05	-9.54E-05	0.0113248635	-0.0042155643	0	0.0002143507	-6.43E-06	0	-4.63E-05	0.000000523
0.3333333333	0.000003694	3.91E-05	6.41E-06	9.88E-07	2.56E-05	0.0003839902	-0.0008639778	-1.01E-06	-5.18E-07	-0.000054499	-0.0120956898	-0.0019007512	-0.0055678572	0.0811259381	-4.32E-06	-4.84E-05	-0.0001581079	-5.38E-05	-4.32E-05	-2.79E-06	0.0063536377	-2.36E-07	-2.16E-05	-9.62E-05	0.011423707	-0.0041278941	0	0.0002879926	-6.48E-06	0	-4.67E-05	0.000000527
0.4166666667	3.96E-06	4.19E-05	0.000006868	1.06E-06	2.75E-05	0.0004113086	-0.0008710063	-1.08E-06	-5.54E-07	-5.84E-05	-0.0121940889	-0.001916214	-0.0054195951	0.0696652836	-0.000004355	-4.88E-05	-0.0001593942	-5.43E-05	-4.36E-05	-2.99E-06	0.0055641684	-2.53E-07	-2.18E-05	-0.000096943	0.0115287368	-0.0040405017	0	0.0003629193	-6.53E-06	0	-4.70E-05	5.31E-07
0.5	4.23E-06	4.48E-05	7.33E-06	1.13E-06	2.93E-05	0.0004392493	-0.0008784987	-1.15E-06	-5.92E-07	-6.23E-05	-0.0122989814	-0.0019326971	-0.005270992	0.0580267734	-4.39E-06	-4.92E-05	-0.0001607653	-5.49E-05	-4.39E-05	-3.20E-06	0.0047636388	-2.70E-07	-2.20E-05	-9.78E-05	0.0116401074	-0.003953244	0	0.0004392493	-6.59E-06	0	-4.74E-05	5.36E-07
0.5833333333	4.50E-06	4.77E-05	7.81E-06	1.20E-06	3.12E-05	0.0004678569	-0.0008864658	-1.23E-06	-6.31E-07	-0.0264124686	-0.0124105206	-0.0019502247	-0.0051218022	0	-4.43E-06	-4.96E-05	-0.0001622232	-5.55E-05	-4.43E-05	-3.41E-06	0.0039507541	-2.87E-07	-2.22E-05	-9.87E-05	0.0117579834	-0.0038659757	0	0.000517105	-6.65E-06	0	-4.79E-05	5.41E-07
0.6666666667	4.78E-06	5.07E-05	8.30E-06	1.28E-06	3.32E-05	0.0004971774	-0.0008949193	-1.30E-06	-6.70E-07	-0.0194553923	-0.0125288708	-0.0019688225	-0.0049717741	0	-4.47E-06	-5.01E-05	-0.0001637702	-0.000056181	-0.000044746	-3.62E-06	0.0031241795	-3.05E-07	-0.000022373	-9.96E-05	0.0118825401	-0.0037785483	0	0.0005966129	-6.71E-06	0	-4.83E-05	5.46E-07
0.75	5.07E-06	5.38E-05	8.80E-06	1.36E-06	3.52E-05	0.0005272586	-0.0009038719	-1.38E-06	-7.11E-07	-0.0123689501	-0.0126542068	-0.0019885182	-0.0048206502	0	-4.52E-06	-5.06E-05	-0.0001654086	-5.69E-05	-4.52E-05	-3.84E-06	0.0022825373	-3.24E-07	-2.26E-05	-0.0001006009	0.0120139642	-0.0036908103	0	0.0006779039	-0.000006779	0	-4.88E-05	5.51E-07
0.8333333333	5.37E-06	5.69E-05	0.00000932	1.44E-06	3.73E-05	0.0005581503	-0.0009133368	-1.46E-06	-7.52E-07	-0.0051400114	-0.0127867153	-0.002009341	-0.0046681659	0	-4.57E-06	-5.11E-05	-0.0001671406	-0.000057591	-4.57E-05	-4.06E-06	0.0014244026	-3.43E-07	-2.28E-05	-0.0001016544	0.0121524536	-0.0036026063	0	0.000761114	-0.00000685	0	-4.93E-05	5.57E-07
0.9166666667	0.000005573	5.91E-05	9.67E-06	0.00000149	3.87E-05	0.0005897374	-0.0009230673	-1.52E-06	-7.81E-07	0	-0.0129229421	-0.002030748	-0.0045127734	0	-4.62E-06	-5.17E-05	-0.0001689213	-5.83E-05	-4.62E-05	-4.22E-06	0.0007335222	-3.56E-07	-2.31E-05	-0.0001027374	0.0122947435	-0.0035127839	0	0.000846145	-0.000006923	0	-4.98E-05	5.63E-07
1	5.55E-06	0.000058771	9.63E-06	1.48E-06	0.00003849	0.0006217025	-0.0009325537	-1.51E-06	-7.77E-07	0	-0.0130557515	-0.0020516181	-0.0043519172	0	-4.66E-06	-0.000052223	-0.0001706573	-5.91E-05	-4.66E-05	-4.20E-06	0.0004568684	-0.000000354	-2.33E-05	-0.0001037932	0.0124340491	-0.0034193635	0	0.0009325537	-6.99E-06	0	-5.04E-05	5.69E-07
1.0833333333	5.52E-06	5.85E-05	9.58E-06	0.000001475	3.83E-05	0.0006541596	-0.0009419899	-1.50E-06	-0.000000773	0	-0.0131878584	-0.0020723777	-0.0041866217	0	-4.71E-06	-5.28E-05	-0.0001723841	-5.98E-05	-4.71E-05	-4.17E-06	0.0001744234	-3.52E-07	-2.35E-05	-0.0001048435	0.0125729483	-0.003323131	0	0.001020489	-7.06E-06	0	-5.09E-05	5.75E-07
1.1666666667	5.49E-06	5.81E-05	9.52E-06	1.47E-06	3.81E-05	0.0006871023	-0.0009513724	-0.000001494	-7.69E-07	0	-0.0133192139	-0.0020930193	-0.0040169058	0	-4.76E-06	-5.33E-05	-0.0001741012	-6.05E-05	-4.76E-05	-4.15E-06	-0.0001137665	-3.50E-07	-2.38E-05	-0.0001058878	0.0127113926	-0.0032240954	0	0.0011099345	-7.14E-06	0	-5.14E-05	5.80E-07
1.25	5.45E-06	5.78E-05	9.46E-06	1.46E-06	3.78E-05	0.0007205233	-0.0009606978	-0.000001485	-0.000000764	0	-0.0134497692	-0.0021135352	-0.0038427912	0	-4.80E-06	-5.38E-05	-0.0001758077	-6.12E-05	-4.80E-05	-0.000004125	-0.0004076507	-0.000000348	-2.40E-05	-0.0001069257	0.012849333	-0.0031222678	0	0.0012008722	-7.21E-06	0	-5.19E-05	0.000000586
1.3333333333	5.42E-06	5.74E-05	0.000009403	1.45E-06	3.76E-05	0.0007544153	-0.0009699625	-1.48E-06	-7.59E-07	0	-0.0135794753	-0.0021339175	-0.0036643029	0	-4.85E-06	-5.43E-05	-0.0001775031	-6.20E-05	-4.85E-05	-4.10E-06	-0.0007071745	-3.46E-07	-2.42E-05	-0.0001079568	0.0129867204	-0.0030176612	0	0.0012932834	-7.27E-06	0	-0.000052378	5.92E-07
1.4166666667	0.00000538	5.70E-05	9.34E-06	1.44E-06	3.73E-05	0.0007887703	-0.0009791631	-1.47E-06	-7.54E-07	0	-0.0137082832	-0.0021541588	-0.0034814687	0	-4.90E-06	-5.48E-05	-0.0001791868	-6.27E-05	-4.90E-05	-4.07E-06	-0.0010122787	-3.43E-07	-2.45E-05	-0.0001089809	0.0131235052	-0.0029102903	0	0.0013871477	-7.34E-06	0	-5.29E-05	5.97E-07
1.5	5.34E-06	0.000056598	9.27E-06	1.43E-06	3.71E-05	0.00082358	-0.000988296	-1.45E-06	-7.48E-07	0	-0.0138361438	-0.0021742512	-0.0032943199	0	-4.94E-06	-5.53E-05	-0.0001808582	-6.34E-05	-4.94E-05	-4.04E-06	-0.0013229	-3.41E-07	-2.47E-05	-0.0001099973	0.0132596378	-0.002800172	0	0.001482444	-7.41E-06	0	-0.000053368	6.03E-07
1.5833333333	5.30E-06	5.62E-05	9.20E-06	1.42E-06	3.68E-05	0.0008588358	-0.0009973577	-1.44E-06	-7.43E-07	0	-0.013963008	-0.002194187	-0.0031028907	0	-4.99E-06	-0.000055852	-0.0001825165	-6.41E-05	-4.99E-05	-4.01E-06	-0.0016389708	-3.38E-07	-2.49E-05	-0.0001110059	0.0133950681	-0.0026873249	0	0.0015791497	-7.48E-06	0	-5.39E-05	6.08E-07
1.6666666667	5.26E-06	5.57E-05	9.12E-06	1.41E-06	3.65E-05	0.0008945287	-0.0010063448	-1.43E-06	-7.37E-07	0	-0.0140888266	-0.0022139585	-0.0029072182	0	-5.03E-06	-5.64E-05	-0.0001841611	-6.49E-05	-5.03E-05	-3.98E-06	-0.0019604191	-3.35E-07	-2.52E-05	-0.0001120062	0.0135297462	-0.0025717699	0	0.0016772413	-7.55E-06	0	-5.43E-05	6.14E-07
